ID1	ID2	coefficient	pvalue	ID1type	ID2type
neg_1310	Rhodanobacter	0.83983015265867	0.00236205294975544	metabolite	genus
neg_2143	Rhodanobacter	0.828283210838796	0.00307477422357127	metabolite	genus
pos_2050	Rhodanobacter	0.865095797987187	0.00122739247628911	metabolite	genus
pos_2053	Rhodanobacter	0.865095797987187	0.00122739247628911	metabolite	genus
pos_2372	Rhodanobacter	0.820672483968087	0.00362170563836672	metabolite	genus
pos_315	Rhodanobacter	0.806060606060606	0.00486206110196452	metabolite	genus
pos_339	Rhodanobacter	0.869304927462492	0.00108698503512783	metabolite	genus
pos_3444	Rhodanobacter	-0.854545455	0.00163680331598659	metabolite	genus
pos_351	Rhodanobacter	0.854545454545454	0.00163680331598659	metabolite	genus
pos_3647	Rhodanobacter	0.878787878787879	0.000813862111732178	metabolite	genus
pos_4037	Rhodanobacter	0.83030303030303	0.00294022702327945	metabolite	genus
pos_436	Rhodanobacter	0.890909090909091	0.000542144224833896	metabolite	genus
pos_5279	Rhodanobacter	-0.818181818	0.0038149200825508	metabolite	genus
pos_573	Rhodanobacter	0.859855884500864	0.00142005828895519	metabolite	genus
pos_5990	Rhodanobacter	0.818181818181818	0.0038149200825508	metabolite	genus
pos_7645	Rhodanobacter	-0.842424242	0.00222003122591685	metabolite	genus
pos_7855	Rhodanobacter	0.857146816588891	0.00152783983733751	metabolite	genus
neg_1243	Ferrovibrio	0.914351512260513	0.000212083467361568	metabolite	genus
neg_1456	Ferrovibrio	0.831202387170921	0.00288170267378796	metabolite	genus
neg_1512	Ferrovibrio	0.875442937270704	0.000903680818213903	metabolite	genus
neg_979	Ferrovibrio	0.833995557147454	0.00270528410311766	metabolite	genus
pos_2498	Ferrovibrio	0.82106539347075	0.00359188000143051	metabolite	genus
pos_351	Ferrovibrio	0.859855884500864	0.00142005828895519	metabolite	genus
pos_474	Ferrovibrio	0.82106539347075	0.00359188000143051	metabolite	genus
neg_1243	Rhodoblastus	0.87663008172639	0.000871017153871279	metabolite	genus
neg_1293	Rhodoblastus	0.801294684078029	0.00532500127533986	metabolite	genus
neg_1564	Rhodoblastus	0.819346490398703	0.00372367353950165	metabolite	genus
neg_1595	Rhodoblastus	0.805690715558724	0.00489692091216165	metabolite	genus
neg_2257	Rhodoblastus	0.862932736699415	0.00130445908062971	metabolite	genus
neg_2526	Rhodoblastus	0.83983015265867	0.00236205294975544	metabolite	genus
neg_4182	Rhodoblastus	-0.839830153	0.00236205294975544	metabolite	genus
pos_339	Rhodoblastus	0.801294684078029	0.00532500127533986	metabolite	genus
pos_351	Rhodoblastus	0.833002265238681	0.00276710296503113	metabolite	genus
pos_5279	Rhodoblastus	-0.84665804	0.00200163236981021	metabolite	genus
pos_6065	Rhodoblastus	0.826174377818692	0.00321991681397682	metabolite	genus
